sentence_grammatical,sentence_ungrammatical,phenomenon,paradigm,pair_ID,LS_diff,source,Good ID,Bad ID,LS_grammatical,LS_ungrammatical,LS_diff
There seems to be a new deal in the works.,There desires to be a new deal in the works.,LI-Adger,LI-Adger,602,1.9771709636923076,Sprouse,34.3.landau.32c.g.03,34.3.landau.32c.*.03,1.2861715759230767,-0.6909993877692308,1.9771709636923076
There appears to be a car waiting at the airport.,There forgot to be a car waiting at the airport.,LI-Adger,LI-Adger,603,2.130241929923077,Sprouse,34.3.landau.32c.g.04,34.3.landau.32c.*.04,1.0341327265384617,-1.0961092033846156,2.130241929923077
There seems to be a party for the new manager.,There hoped to be a party for the new manager.,LI-Adger,LI-Adger,604,1.5842445837692307,Sprouse,34.3.landau.32c.g.05,34.3.landau.32c.*.05,0.663810676,-0.9204339077692308,1.5842445837692307
There appears to be a new rule about vacation days.,There intends to be a new rule about vacation days.,LI-Adger,LI-Adger,605,1.2955097796153845,Sprouse,34.3.landau.32c.g.06,34.3.landau.32c.*.06,1.2868589749230768,-0.0086508046923076,1.2955097796153845
There seems to be a bonus in my paycheck.,There managed to be a bonus in my paycheck.,LI-Adger,LI-Adger,606,1.0526900522307694,Sprouse,34.3.landau.32c.g.07,34.3.landau.32c.*.07,1.1166555783846157,0.0639655261538461,1.0526900522307694
There appears to be a construction sign on the freeway.,There remembered to be a construction sign on the freeway.,LI-Adger,LI-Adger,607,2.3513574100000003,Sprouse,34.3.landau.32c.g.08,34.3.landau.32c.*.08,1.2041646460000002,-1.147192764,2.3513574100000003
One interpreter tried to be assigned to every visiting diplomat.,One interpreter each tried to be assigned to every visiting diplomat.,LI-Adger,LI-Adger,608,0.995141457,Sprouse,34.3.landau.39a.g.01,34.3.landau.39b.*.01,0.5705634973076923,-0.4245779596923077,0.995141457
One actor attempted to be the star of every scene.,One actor each attempted to be the star of every scene.,LI-Adger,LI-Adger,609,1.0787415435384615,Sprouse,34.3.landau.39a.g.02,34.3.landau.39b.*.02,1.009907914,-0.0688336295384615,1.0787415435384615
One protester managed to be heard during every speech.,One protester each managed to be heard during every speech.,LI-Adger,LI-Adger,610,0.7386027969230768,Sprouse,34.3.landau.39a.g.03,34.3.landau.39b.*.03,0.8139199693076923,0.0753171723846153,0.7386027969230768
One child refused to complete every assignment.,One child each refused to complete every assignment.,LI-Adger,LI-Adger,611,1.0626757168461538,Sprouse,34.3.landau.39a.g.04,34.3.landau.39b.*.04,1.1212211956923075,0.0585454788461538,1.0626757168461538
One soldier refused to obey every order.,One soldier each refused to obey every order.,LI-Adger,LI-Adger,612,1.8467381638461535,Sprouse,34.3.landau.39a.g.05,34.3.landau.39b.*.05,1.0606544936923077,-0.7860836701538462,1.8467381638461535
One mechanic managed to repair every car.,One mechanic each managed to repair every car.,LI-Adger,LI-Adger,613,1.3506342090909091,Sprouse,34.3.landau.39a.g.06,34.3.landau.39b.*.06,1.0314420820909092,-0.319192127,1.3506342090909091
One dog attempted to fetch every stick.,One dog each attempted to fetch every stick.,LI-Adger,LI-Adger,614,1.4394396197272727,Sprouse,34.3.landau.39a.g.07,34.3.landau.39b.*.07,0.8870124760000001,-0.5524271437272726,1.4394396197272727
One athlete tried to win event.,One athlete each tried to win each event.,LI-Adger,LI-Adger,615,-0.0734272642307692,Sprouse,34.3.landau.39a.g.08,34.3.landau.39b.*.08,-0.5038890993076923,-0.4304618350769231,-0.0734272642307692
Nobody has done anything.,Anything has nobody done.,LI-Adger,LI-Adger,616,2.113913487769231,Sprouse,34.3.takano.9e.g.01,34.3.takano.9e.*.01,0.808079856,-1.305833631769231,2.113913487769231
Nobody has gone anywhere.,Anywhere has nobody gone.,LI-Adger,LI-Adger,617,1.659641489076923,Sprouse,34.3.takano.9e.g.02,34.3.takano.9e.*.02,0.6337566059230769,-1.025884883153846,1.659641489076923
Nobody has met anyone.,Anyone has nobody met.,LI-Adger,LI-Adger,618,1.7255796391282052,Sprouse,34.3.takano.9e.g.03,34.3.takano.9e.*.03,0.4961927384615384,-1.229386900666667,1.7255796391282052
Nobody has bought anything.,Anything has nobody bought.,LI-Adger,LI-Adger,619,2.362368294705128,Sprouse,34.3.takano.9e.g.04,34.3.takano.9e.*.04,1.1238234371666669,-1.2385448575384612,2.362368294705128
Nobody has seen anything.,Anything has nobody seen.,LI-Adger,LI-Adger,620,2.031243720929488,Sprouse,34.3.takano.9e.g.05,34.3.takano.9e.*.05,0.929347077846154,-1.1018966430833337,2.031243720929488
Nobody has praised anyone.,Anyone has nobody praised.,LI-Adger,LI-Adger,621,1.993722578608974,Sprouse,34.3.takano.9e.g.06,34.3.takano.9e.*.06,0.6344389599166667,-1.3592836186923074,1.993722578608974
Nobody has desired anything.,Anything has nobody desired.,LI-Adger,LI-Adger,622,1.5355251219423076,Sprouse,34.3.takano.9e.g.07,34.3.takano.9e.*.07,0.5728870546923077,-0.96263806725,1.5355251219423076
Nobody has found anyone.,Anyone has nobody found.,LI-Adger,LI-Adger,623,1.4402477470833337,Sprouse,34.3.takano.9e.g.08,34.3.takano.9e.*.08,0.2965675503333334,-1.14368019675,1.4402477470833337
I only occasionally bought any books.,I bought any books only occasionally.,LI-Adger,LI-Adger,624,0.3937083857622377,Sprouse,34.3.takano.10b.g.01,34.3.takano.10b.*.01,-0.3379355736923077,-0.7316439594545454,0.3937083857622377
Prof. Jones only rarely met with any students.,Prof. Jones met with any students only rarely.,LI-Adger,LI-Adger,625,1.114355520076923,Sprouse,34.3.takano.10b.g.02,34.3.takano.10b.*.02,0.5410080016923077,-0.5733475183846154,1.114355520076923
The store only occasionally sold any hardbacks.,The store sold any hardbacks only occasionally.,LI-Adger,LI-Adger,626,1.1777708346153846,Sprouse,34.3.takano.10b.g.03,34.3.takano.10b.*.03,0.4246060426923077,-0.753164791923077,1.1777708346153846
Fritz only rarely wrote any stories.,Fritz wrote any stories only rarely.,LI-Adger,LI-Adger,627,1.0400505714615385,Sprouse,34.3.takano.10b.g.04,34.3.takano.10b.*.04,0.1893269823076923,-0.850723589153846,1.0400505714615385
The postman only occasionally delivers any letters.,The postman delivers any letters only occasionally.,LI-Adger,LI-Adger,628,1.1614124461538462,Sprouse,34.3.takano.10b.g.05,34.3.takano.10b.*.05,0.4530304696153845,-0.7083819765384617,1.1614124461538462
The virtuoso only rarely practices any pieces.,The virtuoso practices any pieces only rarely.,LI-Adger,LI-Adger,629,0.7007549121538461,Sprouse,34.3.takano.10b.g.06,34.3.takano.10b.*.06,-0.140377284076923,-0.8411321962307692,0.7007549121538461
Thin people only occasionally eat any snacks.,Thin people eat any snacks only occasionally.,LI-Adger,LI-Adger,630,0.684828647,Sprouse,34.3.takano.10b.g.07,34.3.takano.10b.*.07,0.1745553705384615,-0.5102732764615384,0.684828647
Most people only rarely clean any windows.,Most people clean any windows only rarely.,LI-Adger,LI-Adger,631,0.5075909044615385,Sprouse,34.3.takano.10b.g.08,34.3.takano.10b.*.08,-0.223860564,-0.7314514684615385,0.5075909044615385
It seemed at that time that David had left.,It seemed at that time David had left.,LI-Adger,LI-Adger,632,-0.1282143679551283,Sprouse,34.4.boskovic.4a.g.01,34.4.boskovic.3a.*.01,0.3305959594615384,0.4588103274166668,-0.1282143679551283
It seemed at that time that Mark had quit.,It seemed at that time Mark had quit.,LI-Adger,LI-Adger,633,-0.133104374801282,Sprouse,34.4.boskovic.4a.g.02,34.4.boskovic.3a.*.02,0.6765533635833333,0.8096577383846153,-0.133104374801282
It seemed at that time that Michelle had won.,It seemed at that time Michelle had won.,LI-Adger,LI-Adger,634,0.2526688964999998,Sprouse,34.4.boskovic.4a.g.03,34.4.boskovic.3a.*.03,0.9276518809999998,0.6749829845,0.2526688964999998
It seemed at that time that Stacey had been hired.,It seemed at that time Stacey had been hired.,LI-Adger,LI-Adger,635,0.3899702972371794,Sprouse,34.4.boskovic.4a.g.04,34.4.boskovic.3a.*.04,0.9681709270833332,0.5782006298461538,0.3899702972371794
It seemed at that time that Tom had moved.,It seemed at that time Tom had moved.,LI-Adger,LI-Adger,636,0.2105704585256411,Sprouse,34.4.boskovic.4a.g.05,34.4.boskovic.3a.*.05,0.6994609976923077,0.4888905391666666,0.2105704585256411
It seemed at that time that Clara had been promoted.,It seemed at that time Clara had been promoted.,LI-Adger,LI-Adger,637,-0.2100637485833334,Sprouse,34.4.boskovic.4a.g.06,34.4.boskovic.3a.*.06,0.4914704015833333,0.7015341501666668,-0.2100637485833334
It seemed at that time that Adam had been fired.,It seemed at that time Adam had been fired.,LI-Adger,LI-Adger,638,-0.1750790459743589,Sprouse,34.4.boskovic.4a.g.07,34.4.boskovic.3a.*.07,0.6349258363333333,0.8100048823076923,-0.1750790459743589
It seemed at that time that Robert had confessed.,It seemed at that time Robert had confessed.,LI-Adger,LI-Adger,639,0.5678011016153846,Sprouse,34.4.boskovic.4a.g.08,34.4.boskovic.3a.*.08,0.859220278,0.2914191763846154,0.5678011016153846
What the students believe is that they will pass the exam.,What the students believe is they will pass the exam.,LI-Adger,LI-Adger,640,0.3219904440769231,Sprouse,34.4.boskovic.4b.g.01,34.4.boskovic.3b.*.01,0.2091537432307692,-0.1128367008461538,0.3219904440769231
What the athletes believe is that they will win the game.,What the athletes believe is they will win the game.,LI-Adger,LI-Adger,641,0.0062959234615384,Sprouse,34.4.boskovic.4b.g.02,34.4.boskovic.3b.*.02,0.1430416946153846,0.1367457711538461,0.0062959234615384
What the squirrels believe is that they will find food.,What the squirrels believe is they will find food.,LI-Adger,LI-Adger,642,0.5530995049999999,Sprouse,34.4.boskovic.4b.g.03,34.4.boskovic.3b.*.03,0.456633659076923,-0.0964658459230769,0.5530995049999999
What the robbers believe is that they will escape the cops.,What the robbers believe is they will escape the cops.,LI-Adger,LI-Adger,643,0.4150775845576923,Sprouse,34.4.boskovic.4b.g.04,34.4.boskovic.3b.*.04,0.23227942525,-0.1827981593076922,0.4150775845576923
What the detectives believe is that they will solve the case.,What the detectives believe is they will solve the case.,LI-Adger,LI-Adger,644,0.0105855620641025,Sprouse,34.4.boskovic.4b.g.05,34.4.boskovic.3b.*.05,0.0855284342307692,0.0749428721666666,0.0105855620641025
What they children believe is that they will get some candy.,What they children believe is they will get some candy.,LI-Adger,LI-Adger,645,0.5307029400769229,Sprouse,34.4.boskovic.4b.g.06,34.4.boskovic.3b.*.06,-0.520131155,-1.0508340950769228,0.5307029400769229
What the runners believe is that they will win the race.,What the runners believe is they will win the race.,LI-Adger,LI-Adger,646,0.3677343696538461,Sprouse,34.4.boskovic.4b.g.07,34.4.boskovic.3b.*.07,0.2932347391538461,-0.0744996304999999,0.3677343696538461
What the police believe is that they will catch the thief.,What the police believe is they will catch the thief.,LI-Adger,LI-Adger,647,0.6291373436923077,Sprouse,34.4.boskovic.4b.g.08,34.4.boskovic.3b.*.08,0.495826614,-0.1333107296923077,0.6291373436923077
They suspected and we believed Peter would visit the hospital.,They suspected and we believed Peter would visit the hospital.,LI-Adger,LI-Adger,648,-0.6143151180769231,Sprouse,34.4.boskovic.4c.g.01,34.4.boskovic.3c.*.01,-0.3811920553846154,0.2331230626923077,-0.6143151180769231
They believed and we thought that Jamie would finish the assignment.,They believed and we thought Jamie would finish the assignment.,LI-Adger,LI-Adger,649,0.4484160732307692,Sprouse,34.4.boskovic.4c.g.02,34.4.boskovic.3c.*.02,0.0542006586153846,-0.3942154146153846,0.4484160732307692
They thought and we expected that Charles would read his speech.,They thought and we expected Charles would read his speech.,LI-Adger,LI-Adger,650,-0.1627945656923076,Sprouse,34.4.boskovic.4c.g.03,34.4.boskovic.3c.*.03,-0.0952573122307692,0.0675372534615384,-0.1627945656923076
They expected and we knew that Courtney would ride the elephant.,They expected and we knew Courtney would ride the elephant.,LI-Adger,LI-Adger,651,0.0691104778205127,Sprouse,34.4.boskovic.4c.g.04,34.4.boskovic.3c.*.04,-0.1667216273333333,-0.2358321051538461,0.0691104778205127
They knew and we saw that Mark would skip work.,They knew and we saw Mark would skip work.,LI-Adger,LI-Adger,652,0.3533175335641026,Sprouse,34.4.boskovic.4c.g.05,34.4.boskovic.3c.*.05,-0.7035975017692307,-1.0569150353333334,0.3533175335641026
They saw and we confirmed that Andrea would present her artwork.,They saw and we confirmed Andrea would present her artwork.,LI-Adger,LI-Adger,653,0.7445984227307693,Sprouse,34.4.boskovic.4c.g.06,34.4.boskovic.3c.*.06,-0.1120351214999999,-0.8566335442307692,0.7445984227307693
They denied and we suspected that Sean would buy the car.,They denied and we suspected Sean would buy the car.,LI-Adger,LI-Adger,654,0.1446944279230769,Sprouse,34.4.boskovic.4c.g.07,34.4.boskovic.3c.*.07,-0.580065610076923,-0.724760038,0.1446944279230769
They affirmed but we denied that Mary would tell the truth.,They affirmed but we denied Mary would tell the truth.,LI-Adger,LI-Adger,655,0.7477167524935897,Sprouse,34.4.boskovic.4c.g.08,34.4.boskovic.3c.*.08,0.212526133076923,-0.5351906194166667,0.7477167524935897
Mary believed that Peter finished school and Bill that Peter got a job.,Mary believed Peter finished school and Bill Peter got a job.,LI-Adger,LI-Adger,656,-0.2440154959230769,Sprouse,34.4.boskovic.4d.g.01,34.4.boskovic.3d.*.01,-0.8666619959230769,-0.6226465,-0.2440154959230769
Laurie believed that Eric won the gold medal and Sally that Eric won the silver medal.,Laurie believed Eric won the gold medal and Sally Eric won the silver medal.,LI-Adger,LI-Adger,657,0.4517897252371796,Sprouse,34.4.boskovic.4d.g.02,34.4.boskovic.3d.*.02,-0.3399327409166666,-0.7917224661538462,0.4517897252371796
Ernie believed that Jackie passed the test and Louie that Jackie got an A.,Ernie believed Jackie passed the test and Louie Jackie got an A.,LI-Adger,LI-Adger,658,-0.1875107933653844,Sprouse,34.4.boskovic.4d.g.03,34.4.boskovic.3d.*.03,-0.6161919936153845,-0.42868120025,-0.1875107933653844
Donald believed that Joe finished his homework and that Dewey Joe took a nap.,Donald believed Joe finished his homework and Dewey Joe took a nap.,LI-Adger,LI-Adger,659,0.152312047326923,Sprouse,34.4.boskovic.4d.g.04,34.4.boskovic.3d.*.04,-0.07732324975,-0.2296352970769231,0.152312047326923
Sarah believed that Daniel grew a few inches and Richard that Daniel gained some weight.,Sarah believed Daniel grew a few inches and Richard Daniel gained some weight.,LI-Adger,LI-Adger,660,-0.3823707379102563,Sprouse,34.4.boskovic.4d.g.05,34.4.boskovic.3d.*.05,-0.705879609076923,-0.3235088711666667,-0.3823707379102563
Raymond believed that Amy practiced her music and Danielle that Amy won a competition.,Raymond believed Amy practiced her music and Danielle Amy won a competition.,LI-Adger,LI-Adger,661,0.2335405773846155,Sprouse,34.4.boskovic.4d.g.06,34.4.boskovic.3d.*.06,-0.6404080756923076,-0.8739486530769232,0.2335405773846155
Matt believed that Ben read a book and Lilly that Ben watched a movie.,Matt believed Ben read a book and Lilly Ben watched a movie.,LI-Adger,LI-Adger,662,-0.028460797923077,Sprouse,34.4.boskovic.4d.g.07,34.4.boskovic.3d.*.07,-0.473792383,-0.445331585076923,-0.028460797923077
Mary believed that Tommy drank his milk and Brandon that Tommy ate the vegetables.,Mary believed Tommy drank his milk and Brandon Tommy ate the vegetables.,LI-Adger,LI-Adger,663,-0.5518777941538461,Sprouse,34.4.boskovic.4d.g.08,34.4.boskovic.3d.*.08,-0.6300389053076922,-0.0781611111538461,-0.5518777941538461
"That John likes Mary, Jane didn鈥檛 believe.","John likes Mary, Jane didn鈥檛 believe.",LI-Adger,LI-Adger,664,-0.0120858654294871,Sprouse,34.4.boskovic.4e.g.01,34.4.boskovic.3e.*.01,-0.5725546618461538,-0.5604687964166666,-0.0120858654294871
"That Chris hates vegetables, Helen didn鈥檛 believe.","Chris hates vegetables, Helen didn鈥檛 believe.",LI-Adger,LI-Adger,665,0.2380933401282052,Sprouse,34.4.boskovic.4e.g.02,34.4.boskovic.3e.*.02,-0.5514755103333332,-0.7895688504615385,0.2380933401282052
"That Mike pushed the little girl, Bianca didn鈥檛 believe.","Mike pushed the little girl, Bianca didn鈥檛 believe.",LI-Adger,LI-Adger,666,-0.2893925980384614,Sprouse,34.4.boskovic.4e.g.03,34.4.boskovic.3e.*.03,-0.9512692895384616,-0.6618766915000001,-0.2893925980384614
"That Emma ate the whole cake, her mother didn鈥檛 believe.","Emma ate the whole cake, her mother didn鈥檛 believe.",LI-Adger,LI-Adger,667,0.2287290259166666,Sprouse,34.4.boskovic.4e.g.04,34.4.boskovic.3e.*.04,-0.4287522164166666,-0.6574812423333333,0.2287290259166666
"That Debbie cheated on her husband, her friends didn鈥檛 believe.","Debbie cheated on her husband, her friends didn鈥檛 believe.",LI-Adger,LI-Adger,668,0.2998010664102564,Sprouse,34.4.boskovic.4e.g.05,34.4.boskovic.3e.*.05,-0.4365751586666666,-0.736376225076923,0.2998010664102564
"That Leonard drank the whole bottle, Michael didn鈥檛 believe.","Leonard drank the whole bottle, Michael didn鈥檛 believe.",LI-Adger,LI-Adger,669,-0.2800774074615386,Sprouse,34.4.boskovic.4e.g.06,34.4.boskovic.3e.*.06,-0.6620670876923078,-0.3819896802307692,-0.2800774074615386
"That Wesley stole the shirt, his girlfriend didn鈥檛 believe.","Wesley stole the shirt, his girlfriend didn鈥檛 believe.",LI-Adger,LI-Adger,670,0.3626120794294871,Sprouse,34.4.boskovic.4e.g.07,34.4.boskovic.3e.*.07,-0.4126599811538461,-0.7752720605833332,0.3626120794294871
"That Addison bit the boy, Jena didn鈥檛 believe.","Addison bit the boy, Jena didn鈥檛 believe.",LI-Adger,LI-Adger,671,-0.2876833796923074,Sprouse,34.4.boskovic.4e.g.08,34.4.boskovic.3e.*.08,-0.9758350219999996,-0.6881516423076923,-0.2876833796923074
"At that time, what did they believe that Peter fixed?",What did they believe at that time that Peter fixed?,LI-Adger,LI-Adger,672,0.0568163666153846,Sprouse,34.4.boskovic.7c.g.01,34.4.boskovic.7a.??.01,-0.3700445540769231,-0.4268609206923077,0.0568163666153846
"At that time, what did they think that Anthony ate?",What did they think at the time that Anthony ate?,LI-Adger,LI-Adger,673,0.2238945546923077,Sprouse,34.4.boskovic.7c.g.02,34.4.boskovic.7a.??.02,0.2086974094615385,-0.0151971452307692,0.2238945546923077
"At that time, what did the children say that the band played?",What did the children say at the time that the band played?,LI-Adger,LI-Adger,674,-0.9000753427692307,Sprouse,34.4.boskovic.7c.g.03,34.4.boskovic.7a.??.03,-0.2520772644615384,0.6479980783076923,-0.9000753427692307
"At that time, what did the audience claim that the host promised? ",What did the audience claim at the time that the host promised?,LI-Adger,LI-Adger,675,0.4556587021538461,Sprouse,34.4.boskovic.7c.g.04,34.4.boskovic.7a.??.04,-0.1354153507692307,-0.5910740529230769,0.4556587021538461
"At that time, what did the students claim that the teacher said?",What did the students claim at that time that the teacher said?,LI-Adger,LI-Adger,676,0.8646971338461538,Sprouse,34.4.boskovic.7c.g.05,34.4.boskovic.7a.??.05,0.4661063789230769,-0.3985907549230769,0.8646971338461538
"At that time, what did the police say that the thieves stole?",What did the police say at that time that the thieves stole?,LI-Adger,LI-Adger,677,0.4017594268811189,Sprouse,34.4.boskovic.7c.g.06,34.4.boskovic.7a.??.06,-0.0692990122727273,-0.4710584391538461,0.4017594268811189
"At that time, what did they think that the customer bought?",What did they think at that time that the customer bought?,LI-Adger,LI-Adger,678,0.6633861225314684,Sprouse,34.4.boskovic.7c.g.07,34.4.boskovic.7a.??.07,0.2175885530769231,-0.4457975694545453,0.6633861225314684
At that time what did the art critic believe that Pablo painted?,What did the art critic believe at the time that Pablo painted?,LI-Adger,LI-Adger,679,0.4323546194615384,Sprouse,34.4.boskovic.7c.g.08,34.4.boskovic.7a.??.08,0.2700447107692307,-0.1623099086923077,0.4323546194615384
This is the man who I think will buy your house next year.,This is the man who I think that will buy your house next year.,LI-Adger,LI-Adger,680,0.6346183666987179,Sprouse,34.4.haegeman.2a.g.01,34.4.haegeman.2a.*.01,0.4746795036153845,-0.1599388630833333,0.6346183666987179
This is the girl who I think will babysit your child next Thursday. ,This is the girl who I think that will babysit your child next Thursday. ,LI-Adger,LI-Adger,681,0.2735321508076924,Sprouse,34.4.haegeman.2a.g.02,34.4.haegeman.2a.*.02,0.3562777025,0.0827455516923076,0.2735321508076924
This is the women who I think will replace the manager. ,This is the women who I think that will replace the manager. ,LI-Adger,LI-Adger,682,0.0929452298141025,Sprouse,34.4.haegeman.2a.g.03,34.4.haegeman.2a.*.03,0.2799140202307692,0.1869687904166666,0.0929452298141025
This is the teacher who I think will tutor your son after school. ,This is the teacher who I think that will tutor your son after school. ,LI-Adger,LI-Adger,683,0.6411870951666668,Sprouse,34.4.haegeman.2a.g.04,34.4.haegeman.2a.*.04,0.7134483352500002,0.0722612400833333,0.6411870951666668
This is the student who I think will copy from you during the exam. ,This is the student who I think that will copy from you during the exam. ,LI-Adger,LI-Adger,684,0.6846890369230769,Sprouse,34.4.haegeman.2a.g.05,34.4.haegeman.2a.*.05,0.51338958,-0.1712994569230769,0.6846890369230769
This is the doctor who I think will cure your sister. ,This is the doctor who I think that will cure your sister. ,LI-Adger,LI-Adger,685,0.6018336658461538,Sprouse,34.4.haegeman.2a.g.06,34.4.haegeman.2a.*.06,0.7607745556923077,0.1589408898461538,0.6018336658461538
This is the lawyer who I think will represent your husband at trial.,This is the lawyer who I think that will represent your husband at trial.,LI-Adger,LI-Adger,686,0.6570782280448717,Sprouse,34.4.haegeman.2a.g.07,34.4.haegeman.2a.*.07,0.8050691464615384,0.1479909184166666,0.6570782280448717
This is the child who I think will walk your dog.,This is the child who I think that will walk your dog.,LI-Adger,LI-Adger,687,0.7766811751730768,Sprouse,34.4.haegeman.2a.g.08,34.4.haegeman.2a.*.08,0.5602906792499999,-0.2163904959230769,0.7766811751730768
"Angela wondered how John managed to cook a certain food, but it's not clear what food.","Angela wondered how John managed to cook, but it's not clear what food.",LI-Adger,LI-Adger,688,0.6239695777651514,Sprouse,34.4.lasnik.11a.g.01,34.4.lasnik.10a.*.01,0.2133279565833333,-0.410641621181818,0.6239695777651514
"Sarah wondered why Dan tried to drink a certain beverage, but it's not clear what beverage.","Sarah wondered why Dan tried to drink, but it's not clear what beverage.",LI-Adger,LI-Adger,689,0.1471123862115384,Sprouse,34.4.lasnik.11a.g.02,34.4.lasnik.10a.*.02,-0.00396603125,-0.1510784174615384,0.1471123862115384
"Eric wondered how Lisa learned to dance a certain dance, but it's not clear what dance.","Eric wondered how Lisa learned to dance, but it's not clear what dance.",LI-Adger,LI-Adger,690,0.6516881975384616,Sprouse,34.4.lasnik.11a.g.03,34.4.lasnik.10a.*.03,0.4620433794615385,-0.189644818076923,0.6516881975384616
"Matt wondered why Kelly hoped to win a certain contest, but it's not clear what contest.","Matt wondered why Kelly hoped to win, but it's not clear what contest.",LI-Adger,LI-Adger,691,-0.0253931489230768,Sprouse,34.4.lasnik.11a.g.04,34.4.lasnik.10a.*.04,-0.3450158136153846,-0.3196226646923077,-0.0253931489230768
"Sharon wondered why Amy hoped to read a certain book, but it's not clear what book.","Sharon wondered why Amy hoped to read, but it's not clear what book.",LI-Adger,LI-Adger,692,0.3552401026923076,Sprouse,34.4.lasnik.11a.g.05,34.4.lasnik.10a.*.05,-0.2195003446153846,-0.5747404473076922,0.3552401026923076
"Terry wondered how Cindy learned to swim a certain stroke, but it's not clear what stroke.","Terry wondered how Cindy learned to swim, but it's not clear what stroke.",LI-Adger,LI-Adger,693,0.7116388959230769,Sprouse,34.4.lasnik.11a.g.06,34.4.lasnik.10a.*.06,0.3291691810769231,-0.3824697148461538,0.7116388959230769
"Mike wondered why Leslie tried to visit a certain city, but it's not clear what city.","Mike wondered why Leslie tried to visit, but it's not clear what city.",LI-Adger,LI-Adger,694,0.8146456339230769,Sprouse,34.4.lasnik.11a.g.07,34.4.lasnik.10a.*.07,0.1950715509230769,-0.6195740829999999,0.8146456339230769
"Natalie wondered how William managed to pass a certain class, but it's not clear what class.","Natalie wondered how William managed to pass, but it's not clear what class.",LI-Adger,LI-Adger,695,0.2532707052937062,Sprouse,34.4.lasnik.11a.g.08,34.4.lasnik.10a.*.08,0.0809266129090909,-0.1723440923846153,0.2532707052937062
I believed a friend of Andy satisfied.,Who did you believe a friend of satisfied?,LI-Adger,LI-Adger,696,0.5229960539230768,Sprouse,35.1.beck.12b.g.01,35.1.beck.12b.*.01,-0.7453110857692308,-1.2683071396923076,0.5229960539230768
The maid considers a neighbor of Mary suspicious.,Who does the maid consider a neighbor of suspicious?,LI-Adger,LI-Adger,697,0.5729065297692306,Sprouse,35.1.beck.12b.g.02,35.1.beck.12b.*.02,-0.2403027734615384,-0.8132093032307691,0.5729065297692306
He considers a picture of Svetlana precious.,Who does he consider a picture of precious?,LI-Adger,LI-Adger,698,1.3530756495384615,Sprouse,35.1.beck.12b.g.03,35.1.beck.12b.*.03,0.7844326749999999,-0.5686429745384616,1.3530756495384615
They consider a teacher of Chris geeky.,Who do they consider a teacher of geeky?,LI-Adger,LI-Adger,699,0.3634916307482517,Sprouse,35.1.beck.12b.g.04,35.1.beck.12b.*.04,-0.4670528986363637,-0.8305445293846154,0.3634916307482517
Dr. Parker considers a criticism of Jane unjustified.,Who does Dr. Parker consider a criticism of unjustified?,LI-Adger,LI-Adger,700,1.0094745985174824,Sprouse,35.1.beck.12b.g.05,35.1.beck.12b.*.05,0.3427753661538462,-0.6666992323636363,1.0094745985174824
The committee considers a discussion of the dean unwarranted.,Who does the committee consider a discussion of unwarranted?,LI-Adger,LI-Adger,701,1.282465035,Sprouse,35.1.beck.12b.g.06,35.1.beck.12b.*.06,0.2884655150769231,-0.9939995199230768,1.282465035
Our leaders consider an associate of Edwin untrustworthy.,Who do our leaders consider an associate of untrustworthy?,LI-Adger,LI-Adger,702,1.4008622556923076,Sprouse,35.1.beck.12b.g.07,35.1.beck.12b.*.07,0.621987084,-0.7788751716923076,1.4008622556923076
My brother wants a picture of Reagan displayed.,Who does my brother want a picture of displayed?,LI-Adger,LI-Adger,703,1.7806254464615383,Sprouse,35.1.beck.12b.g.08,35.1.beck.12b.*.08,1.1469948099999998,-0.6336306364615385,1.7806254464615383
Ralph is more tall than fit.,Ralph is more than fit tall.,LI-Adger,LI-Adger,704,1.658103848346154,Sprouse,35.1.bhatt.14cf.g.01,35.1.bhatt.14a.*.01,0.5889515658461538,-1.0691522825,1.658103848346154
Cassie is more talented than intelligent.,Cassie is more than intelligent talented.,LI-Adger,LI-Adger,705,1.094798330474359,Sprouse,35.1.bhatt.14cf.g.02,35.1.bhatt.14a.*.02,0.5732548251666666,-0.5215435053076922,1.094798330474359
Greg is more relieved than angry.,Greg is more than angry relieved.,LI-Adger,LI-Adger,706,1.7479879295576923,Sprouse,35.1.bhatt.14cf.g.03,35.1.bhatt.14a.*.03,1.0973396263076922,-0.65064830325,1.7479879295576923
Tom is more worried than afraid.,Tom is more than afraid worried.,LI-Adger,LI-Adger,707,1.6692999593846154,Sprouse,35.1.bhatt.14cf.g.04,35.1.bhatt.14a.*.04,0.9244881675384616,-0.7448117918461539,1.6692999593846154
Kayla is more grateful than insulted.,Kayla is more than insulted grateful.,LI-Adger,LI-Adger,708,1.3321030698461538,Sprouse,35.1.bhatt.14cf.g.05,35.1.bhatt.14a.*.05,0.6366090358461538,-0.695494034,1.3321030698461538
Sam is more disappointed than hurt.,Sam is more than hurt disappointed.,LI-Adger,LI-Adger,709,1.810730877,Sprouse,35.1.bhatt.14cf.g.06,35.1.bhatt.14a.*.06,1.1260849673846154,-0.6846459096153847,1.810730877
Laura is more excited than nervous.,Laura is more than nervous excited.,LI-Adger,LI-Adger,710,1.9759234404615384,Sprouse,35.1.bhatt.14cf.g.07,35.1.bhatt.14a.*.07,1.2200219399230767,-0.7559015005384617,1.9759234404615384
