sentence_grammatical,sentence_ungrammatical,source,paradigm,phenomenon,LS_grammatical,LS_ungrammatical,LS_diff,pair_ID
Who do the Borgias like before aggravating Mark?,Who do the Borgias like Mark before aggravating?,blimp,adjunct_island,island_effects,,,,210
Who was Cynthia observing while thinking about Rose?,Who was Cynthia observing Rose while thinking about?,blimp,adjunct_island,island_effects,,,,211
What has Regina boycotted before finding every glacier?,What has Regina boycotted every glacier before finding?,blimp,adjunct_island,island_effects,,,,212
What is Chad ascending while admiring the steps?,What is Chad ascending the steps while admiring?,blimp,adjunct_island,island_effects,,,,213
Who were most students leaving without shocking Jerry?,Who were most students leaving Jerry without shocking?,blimp,adjunct_island,island_effects,,,,214
Who did all pants astound without irritating many pedestrians?,Who did all pants astound many pedestrians without irritating?,blimp,adjunct_island,island_effects,,,,215
Who had Timothy talked about without concealing these people?,Who had Timothy talked about these people without concealing?,blimp,adjunct_island,island_effects,,,,216
Who is Kayla questioning while arguing about this teenager?,Who is Kayla questioning this teenager while arguing about?,blimp,adjunct_island,island_effects,,,,217
Who had Monet bothered after finding Lucille?,Who had Monet bothered Lucille after finding?,blimp,adjunct_island,island_effects,,,,218
Who can Tara alarm after talking about Samantha?,Who can Tara alarm Samantha after talking about?,blimp,adjunct_island,island_effects,,,,219
Every radius has confused Dawn.,Every radius have confused Dawn.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,220
This louse was confusing the universities.,This louse were confusing the universities.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,221
This medium hasn't disturbed the cashiers.,This medium haven't disturbed the cashiers.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,222
Many fungi haven't stunned Nina.,Many fungi hasn't stunned Nina.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,223
This medium isn't stunning most actresses.,This medium aren't stunning most actresses.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,224
Some synthesis isn't impressing Elaine.,Some synthesis aren't impressing Elaine.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,225
The octopus shocks Andrea.,The octopus shock Andrea.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,226
All crises embarrass a lot of pedestrians.,All crises embarrasses a lot of pedestrians.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,227
Every stimulus isn't annoying that bank.,Every stimulus aren't annoying that bank.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,228
Every crisis wasn't stunning Janice.,Every crisis aren't stunning Janice.,blimp,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,,,,229
Those dresses had not ever soaked.,Those dresses had really ever soaked.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,230
Kayla has not ever approached Meredith.,Kayla has really ever approached Meredith.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,231
Nicole should not ever practice.,Nicole should probably ever practice.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,232
The Impressionists would not ever explain Lisa hadn't wept.,The Impressionists would fortunately ever explain Lisa hadn't wept.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,233
Catherine has not ever forgotten who hasn't nodded.,Catherine has really ever forgotten who hasn't nodded.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,234
A skateboard had not ever maneuvered.,A skateboard had fortunately ever maneuvered.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,235
A sock can not ever crumple.,A sock can fortunately ever crumple.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,236
Rachelle had not ever proven to wash.,Rachelle had fortunately ever proven to wash.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,237
Marcus has not ever failed to tour most museums.,Marcus has probably ever failed to tour most museums.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,238
Wayne should not ever require all schools to cope.,Wayne should fortunately ever require all schools to cope.,blimp,sentential_negation_npi_licensor_present,npi_licensing,,,,239
That woman's dermatologists are kissed by Steve.,That woman's dermatologists are collaborated by Steve.,blimp,passive_1,argument_structure,,,,240
Janet was shocked by John.,Janet was shrugged by John.,blimp,passive_1,argument_structure,,,,241
Katherine's brothers are disliked by Ellen.,Katherine's brothers are negotiated by Ellen.,blimp,passive_1,argument_structure,,,,242
This granddaughter of Rose wasn't worried by every government.,This granddaughter of Rose wasn't left by every government.,blimp,passive_1,argument_structure,,,,243
Girls' French teachers are appreciated by a guest.,Girls' French teachers are communicated by a guest.,blimp,passive_1,argument_structure,,,,244
Bradley's guests aren't astounded by this report about Monet.,Bradley's guests aren't waved by this report about Monet.,blimp,passive_1,argument_structure,,,,245
All universities are stunned by the dresses.,All universities are joked around by the dresses.,blimp,passive_1,argument_structure,,,,246
Those actors aren't bothered by Dan's associates.,Those actors aren't conspired by Dan's associates.,blimp,passive_1,argument_structure,,,,247
Erin isn't irritated by that library.,Erin isn't muttered by that library.,blimp,passive_1,argument_structure,,,,248
Monet was respected by Lawrence.,Monet was littered by Lawrence.,blimp,passive_1,argument_structure,,,,249
Only Katherine's colleague who Nicole has forgotten has ever begged Janice to litter.,Katherine's colleague who only Nicole has forgotten has ever begged Janice to litter.,blimp,only_npi_scope,npi_licensing,,,,250
Only waitresses that some book aggravates ever force Craig to scratch.,Waitresses that only some book aggravates ever force Craig to scratch.,blimp,only_npi_scope,npi_licensing,,,,251
Only a woman's cousin who Sheila listened to has ever examined every essay.,A woman's cousin who only Sheila listened to has ever examined every essay.,blimp,only_npi_scope,npi_licensing,,,,252
Only every art gallery that Tiffany does flee from ever worried Denise.,Every art gallery that only Tiffany does flee from ever worried Denise.,blimp,only_npi_scope,npi_licensing,,,,253
Only Suzanne's niece that a coat has astounded ever prods this pedestrian's cousins to take many muffins.,Suzanne's niece that only a coat has astounded ever prods this pedestrian's cousins to take many muffins.,blimp,only_npi_scope,npi_licensing,,,,254
Only that person that Melinda did hurt ever worked with Sandra.,That person that only Melinda did hurt ever worked with Sandra.,blimp,only_npi_scope,npi_licensing,,,,255
Only Debra's mentee that a newspaper article upsets ever remembers Cynthia.,Debra's mentee that only a newspaper article upsets ever remembers Cynthia.,blimp,only_npi_scope,npi_licensing,,,,256
Only Paul's classmates who Gina should discuss had ever approached Beverly.,Paul's classmates who only Gina should discuss had ever approached Beverly.,blimp,only_npi_scope,npi_licensing,,,,257
Only glasses that Tammy was messing up can ever soak.,Glasses that only Tammy was messing up can ever soak.,blimp,only_npi_scope,npi_licensing,,,,258
Only that shawl that Donna has worn ever dried.,That shawl that only Donna has worn ever dried.,blimp,only_npi_scope,npi_licensing,,,,259
Gerald has remembered every actor that David had seen.,Gerald has remembered who David had seen every actor.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,260
That guy researches most drawings that Veronica could sell.,That guy researches what Veronica could sell most drawings.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,261
Beverly wasn't researching the synthesis that Anne did appreciate.,Beverly wasn't researching what Anne did appreciate the synthesis.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,262
That cashier has researched some newspaper article that Tiffany hid.,That cashier has researched what Tiffany hid some newspaper article.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,263
A lot of cashiers question this waitress that Ella had disliked.,A lot of cashiers question who Ella had disliked this waitress.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,264
Lisa wasn't investigating the customer that Nicole should hate.,Lisa wasn't investigating who Nicole should hate the customer.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,265
This patient has known some cashiers that Carla can work with.,This patient has known who Carla can work with some cashiers.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,266
The legislatures will forget some boys that that muffin upsets.,The legislatures will forget who that muffin upsets some boys.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,267
That waiter thought about some library that Clyde impressed.,That waiter thought about what Clyde impressed some library.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,268
These waitresses question the driver that Victoria wasn't praising.,These waitresses question who Victoria wasn't praising the driver.,blimp,wh_questions_object_gap,filler_gap_dependency,,,,269
There wasn't a report boring Travis.,There wasn't every report boring Travis.,blimp,existential_there_quantifiers_1,quantifiers,,,,270
There were many students distracting Wendy.,There were all students distracting Wendy.,blimp,existential_there_quantifiers_1,quantifiers,,,,271
There were no skirts disturbing this man.,There were most skirts disturbing this man.,blimp,existential_there_quantifiers_1,quantifiers,,,,272
There were few lamps falling.,There were most lamps falling.,blimp,existential_there_quantifiers_1,quantifiers,,,,273
There are few sketches of Jane looking like Nicole.,There are all sketches of Jane looking like Nicole.,blimp,existential_there_quantifiers_1,quantifiers,,,,274
There were some pictures aggravating Carrie.,There were all pictures aggravating Carrie.,blimp,existential_there_quantifiers_1,quantifiers,,,,275
There wasn't a girl researching associations.,There wasn't each girl researching associations.,blimp,existential_there_quantifiers_1,quantifiers,,,,276
There were some libraries admiring William.,There were all libraries admiring William.,blimp,existential_there_quantifiers_1,quantifiers,,,,277
There weren't many books scaring schools.,There weren't all books scaring schools.,blimp,existential_there_quantifiers_1,quantifiers,,,,278
There is a candle astounding the Clintons.,There is each candle astounding the Clintons.,blimp,existential_there_quantifiers_1,quantifiers,,,,279
A woman was examining those long synopses.,A woman was examining that long synopses.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,280
That window alarms these exposed women.,That window alarms this exposed women.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,281
This teenager can't worry those delighted men.,This teenager can't worry that delighted men.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,282
Walter has scanned this rough thesis.,Walter has scanned these rough thesis.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,283
Some museums forget that good analysis.,Some museums forget those good analysis.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,284
The waitresses did know this lucky person.,The waitresses did know these lucky person.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,285
The fish shocks these old alumni.,The fish shocks this old alumni.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,286
Those dancers break those green teeth.,Those dancers break that green teeth.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,287
Matt approaches this exposed child.,Matt approaches these exposed child.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,288
Valerie has astounded that lost alumnus.,Valerie has astounded those lost alumnus.,blimp,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement,,,,289
Katherine would also upset Jason.,Katherine would ever upset Jason.,blimp,npi_present_2,npi_licensing,,,,290
Every skateboard often slowed.,Every skateboard ever slowed.,blimp,npi_present_2,npi_licensing,,,,291
Phillip certainly slumps over.,Phillip ever slumps over.,blimp,npi_present_2,npi_licensing,,,,292
Those teachers also cough.,Those teachers ever cough.,blimp,npi_present_2,npi_licensing,,,,293
Frank has clearly trained.,Frank has ever trained.,blimp,npi_present_2,npi_licensing,,,,294
Some lamp has certainly brightened.,Some lamp has ever brightened.,blimp,npi_present_2,npi_licensing,,,,295
Peter clearly pressures Liam to have those public parks.,Peter ever pressures Liam to have those public parks.,blimp,npi_present_2,npi_licensing,,,,296
Those guys also hug Deborah.,Those guys ever hug Deborah.,blimp,npi_present_2,npi_licensing,,,,297
The Lutherans clearly scanned the commentaries.,The Lutherans ever scanned the commentaries.,blimp,npi_present_2,npi_licensing,,,,298
Walter clearly finds out who prefer George to go to many museums.,Walter ever finds out who prefer George to go to many museums.,blimp,npi_present_2,npi_licensing,,,,299
This museum wasn't figuring out that some student that works with Diane lifts some horse.,This museum wasn't figuring out what some student that works with Diane lifts some horse.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,300
Gary won't forget that a lot of guests that complained about Melanie hadn't walked through those rivers.,Gary won't forget what a lot of guests that complained about Melanie hadn't walked through those rivers.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,301
Rachelle could discover that some child that observes William healed Chad.,Rachelle could discover who some child that observes William healed Chad.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,302
Rachelle isn't discovering that these teachers that were questioning Kimberley cared for the Lutherans.,Rachelle isn't discovering who these teachers that were questioning Kimberley cared for the Lutherans.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,303
The person is remembering that those offspring that don't perform aren't attacking Noah.,The person is remembering who those offspring that don't perform aren't attacking Noah.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,304
The actors forget that every teacher that didn't investigate Diana should boast about the doctor.,The actors forget who every teacher that didn't investigate Diana should boast about the doctor.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,305
Andrea conceals that all shirts that looked like that picture looked like a painting.,Andrea conceals what all shirts that looked like that picture looked like a painting.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,306
Deborah hasn't investigated that that patient that returns to Liam had dropped by a lot of public parks.,Deborah hasn't investigated what that patient that returns to Liam had dropped by a lot of public parks.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,307
A lot of adults realize that those children that shouldn't hate these actors had that window.,A lot of adults realize what those children that shouldn't hate these actors had that window.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,308
Erin forgets that a lot of girls that succeeded complain about some women.,Erin forgets who a lot of girls that succeeded complain about some women.,blimp,wh_vs_that_no_gap_long_distance,filler_gap_dependency,,,,309
Derek sees all eyes that Brett was hiding that disturbed every library.,Derek sees what all eyes that Brett was hiding disturbed every library.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,310
Some customer remembers these senators that Guy can't embarrass that were arriving at the mountain.,Some customer remembers what these senators that Guy can't embarrass were arriving at the mountain.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,311
Some legislatures knew all women that Phillip didn't stun that can't clean mice.,Some legislatures knew what all women that Phillip didn't stun can't clean mice.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,312
All teachers research this grocery store that Bruce didn't boycott that hasn't irritated every bank.,All teachers research what this grocery store that Bruce didn't boycott hasn't irritated every bank.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,313
Some customers question a lot of schools that a lot of computers stunned that are confusing this school.,Some customers question what a lot of schools that a lot of computers stunned are confusing this school.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,314
Leslie hadn't forgotten girls that Todd leaves that aren't running around most mountains.,Leslie hadn't forgotten what girls that Todd leaves aren't running around most mountains.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,315
Marie notices the cup that Galileo hid that aggravated the student.,Marie notices who the cup that Galileo hid aggravated the student.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,316
David questioned that guy that Paul isn't boring that can't embarrass some offspring.,David questioned who that guy that Paul isn't boring can't embarrass some offspring.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,317
Every lady saw those apples that Irene took that bore some student.,Every lady saw who those apples that Irene took bore some student.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,318
Valerie can research some government that Nancy upset that won't bore some student.,Valerie can research who some government that Nancy upset won't bore some student.,blimp,wh_questions_subject_gap_long_distance,filler_gap_dependency,,,,319
Who had some pedestrians' disagreeing with Julie embarrassed.,Who had some pedestrians' disagreeing with embarrassed Julie.,blimp,sentential_subject_island,island_effects,,,,320
Who had these cars' irritating Marla disgusted.,Who had these cars' irritating disgusted Marla.,blimp,sentential_subject_island,island_effects,,,,321
Who have the chairs' worrying a lot of men annoyed.,Who have the chairs' worrying annoyed a lot of men.,blimp,sentential_subject_island,island_effects,,,,322
Who are those students' going to every school alarming.,Who are those students' going to alarming every school.,blimp,sentential_subject_island,island_effects,,,,323
Who does some guy's walking through Harvard University distract.,Who does some guy's walking through distract Harvard University.,blimp,sentential_subject_island,island_effects,,,,324
Who have those dancers' leaving Andrea annoyed.,Who have those dancers' leaving annoyed Andrea.,blimp,sentential_subject_island,island_effects,,,,325
Who are banks' talking to Raymond disturbing.,Who are banks' talking to disturbing Raymond.,blimp,sentential_subject_island,island_effects,,,,326
Who will the convertible's confusing those women worry.,Who will the convertible's confusing worry those women.,blimp,sentential_subject_island,island_effects,,,,327
Who had the cafes' upsetting Rhonda disgusted.,Who had the cafes' upsetting disgusted Rhonda.,blimp,sentential_subject_island,island_effects,,,,328
Who was an actress's bringing schools astounding.,Who was an actress's bringing astounding schools.,blimp,sentential_subject_island,island_effects,,,,329
Danielle's oncologist arrives at a restaurant.,Danielle's oncologist boasted a restaurant.,blimp,transitive,argument_structure,,,,330
Lawrence's grandson won't sell every glove.,Lawrence's grandson won't suffer every glove.,blimp,transitive,argument_structure,,,,331
The grandmothers of Beverly boycott a grocery store.,The grandmothers of Beverly muttered a grocery store.,blimp,transitive,argument_structure,,,,332
Denise's ex-boyfriends question Jodi.,Denise's ex-boyfriends cooperated Jodi.,blimp,transitive,argument_structure,,,,333
Those waiters referenced Lori.,Those waiters shrug Lori.,blimp,transitive,argument_structure,,,,334
Martha insults many shows about Winston Churchill.,Martha laughs many shows about Winston Churchill.,blimp,transitive,argument_structure,,,,335
Brenda's teacher hadn't climbed up stairs.,Brenda's teacher hadn't fallen asleep stairs.,blimp,transitive,argument_structure,,,,336
Candice's podiatrist hadn't scared Dan.,Candice's podiatrist hadn't laughed Dan.,blimp,transitive,argument_structure,,,,337
Lisa couldn't attack Bill's mentees.,Lisa couldn't weep Bill's mentees.,blimp,transitive,argument_structure,,,,338
Melanie should talk to Carol.,Melanie should shout Carol.,blimp,transitive,argument_structure,,,,339
The woman hasn't cared for Valerie.,The women hasn't cared for Valerie.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,340
The hypotheses stun Kevin.,The hypothesis stun Kevin.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,341
The children haven't messed up the grocery stores.,The child haven't messed up the grocery stores.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,342
The children exit this lake.,The child exit this lake.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,343
The woman wasn't returning to every movie theater.,The women wasn't returning to every movie theater.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,344
The woman replies.,The women replies.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,345
The geese haven't woken up.,The goose haven't woken up.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,346
The person eats.,The people eats.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,347
The child hasn't described most guests.,The children hasn't described most guests.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,348
The woman boasts about Carolyn.,The women boasts about Carolyn.,blimp,irregular_plural_subject_verb_agreement_2,subject_verb_agreement,,,,349
Rebecca wasn't leaving.,Rebecca wasn't fleeing from.,blimp,drop_argument,argument_structure,,,,350
Hamsters climb up.,Hamsters look like.,blimp,drop_argument,argument_structure,,,,351
Rachelle should leave.,Rachelle should arrive at.,blimp,drop_argument,argument_structure,,,,352
Wayne sees.,Wayne respected.,blimp,drop_argument,argument_structure,,,,353
Janice's piano teacher explores.,Janice's piano teacher scared.,blimp,drop_argument,argument_structure,,,,354
Larry's ex-wives help.,Larry's ex-wives flee from.,blimp,drop_argument,argument_structure,,,,355
Jodi's mentor hadn't known.,Jodi's mentor hadn't walked through.,blimp,drop_argument,argument_structure,,,,356
The Clintons should forget.,The Clintons should bike to.,blimp,drop_argument,argument_structure,,,,357
All patients' granddaughter would run around.,All patients' granddaughter would conceal.,blimp,drop_argument,argument_structure,,,,358
A lot of teenagers haven't left.,A lot of teenagers haven't arrived at.,blimp,drop_argument,argument_structure,,,,359
There fails to be a woman wishing to sit down.,There neglects to be a woman wishing to sit down.,blimp,existential_there_subject_raising,control_raising,,,,360
There failed to be few icicles confusing Allison.,There hope to be few icicles confusing Allison.,blimp,existential_there_subject_raising,control_raising,,,,361
There couldn't appear to be few shawls warping.,There couldn't continue to be few shawls warping.,blimp,existential_there_subject_raising,control_raising,,,,362
There isn't unlikely to be a dish cracking.,There isn't excited to be a dish cracking.,blimp,existential_there_subject_raising,control_raising,,,,363
There wasn't certain to be an actor thinking about what was hurting Marcus.,There wasn't unwilling to be an actor thinking about what was hurting Marcus.,blimp,existential_there_subject_raising,control_raising,,,,364
There is likely to be a cousin of Natalie spurring Sarah to drink.,There is anxious to be a cousin of Natalie spurring Sarah to drink.,blimp,existential_there_subject_raising,control_raising,,,,365
There wasn't apt to be an eggplant disgusting all teenagers.,There wasn't unwilling to be an eggplant disgusting all teenagers.,blimp,existential_there_subject_raising,control_raising,,,,366
There happened to be some doctors flirting.,There wished to be some doctors flirting.,blimp,existential_there_subject_raising,control_raising,,,,367
There aren't certain to be more than three essays astounding Heather.,There aren't excited to be more than three essays astounding Heather.,blimp,existential_there_subject_raising,control_raising,,,,368
There were unlikely to be fewer than three windows hurting the teenager.,There were eager to be fewer than three windows hurting the teenager.,blimp,existential_there_subject_raising,control_raising,,,,369
Laurie imagines Andrew can't conceal himself.,Andrew imagines Laurie can't conceal himself.,blimp,principle_A_domain_3,binding,,,,370
Gina would explain Theodore thinks about himself.,Theodore would explain Gina thinks about himself.,blimp,principle_A_domain_3,binding,,,,371
Rhonda's wife won't imagine Gerald fires himself.,Gerald won't imagine Rhonda's wife fires himself.,blimp,principle_A_domain_3,binding,,,,372
Natalie imagines Bradley remembers himself.,Bradley imagines Natalie remembers himself.,blimp,principle_A_domain_3,binding,,,,373
Melissa might imagine Aaron didn't attack himself.,Aaron might imagine Melissa didn't attack himself.,blimp,principle_A_domain_3,binding,,,,374
Tanya will think James references himself.,James will think Tanya references himself.,blimp,principle_A_domain_3,binding,,,,375
Barbara imagines Paul disturbs himself.,Paul imagines Barbara disturbs himself.,blimp,principle_A_domain_3,binding,,,,376
Christine imagines Gary can visit himself.,Gary imagines Christine can visit himself.,blimp,principle_A_domain_3,binding,,,,377
Danielle can't imagine Paul dislikes himself.,Paul can't imagine Danielle dislikes himself.,blimp,principle_A_domain_3,binding,,,,378
Patricia doesn't say Brian talks to himself.,Brian doesn't say Patricia talks to himself.,blimp,principle_A_domain_3,binding,,,,379
Regina's sons aren't about to motivate Vincent's guest to heal this boy.,Regina's sons aren't tough to motivate Vincent's guest to heal this boy.,blimp,tough_vs_raising_2,control_raising,,,,380
Melissa was likely to learn who isn't requiring Harvard University to work with Sheila.,Melissa was tough to learn who isn't requiring Harvard University to work with Sheila.,blimp,tough_vs_raising_2,control_raising,,,,381
Many girls weren't unlikely to react.,Many girls weren't easy to react.,blimp,tough_vs_raising_2,control_raising,,,,382
Suzanne's podiatrist wasn't likely to fix this window.,Suzanne's podiatrist wasn't interesting to fix this window.,blimp,tough_vs_raising_2,control_raising,,,,383
Stephanie wasn't likely to mess up every cup.,Stephanie wasn't tough to mess up every cup.,blimp,tough_vs_raising_2,control_raising,,,,384
Kimberley isn't bound to shrug.,Kimberley isn't easy to shrug.,blimp,tough_vs_raising_2,control_raising,,,,385
April wasn't sure to flee from the bank.,April wasn't irritating to flee from the bank.,blimp,tough_vs_raising_2,control_raising,,,,386
These grandfathers of Janice are likely to compete.,These grandfathers of Janice are unpleasant to compete.,blimp,tough_vs_raising_2,control_raising,,,,387
The people aren't sure to investigate Paul.,The people aren't interesting to investigate Paul.,blimp,tough_vs_raising_2,control_raising,,,,388
Diane isn't about to hide Cindy.,Diane isn't hard to hide Cindy.,blimp,tough_vs_raising_2,control_raising,,,,389
Christine remembers some adult that climbed up some steps.,Christine remembers what some adult climbed up some steps.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,390
Monica notices these dresses that aren't upsetting Deborah.,Monica notices who these dresses aren't upsetting Deborah.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,391
Diana has thought about some deer that confused the library.,Diana has thought about what some deer confused the library.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,392
Those drivers discover a lot of media that haven't astounded Steve.,Those drivers discover who a lot of media haven't astounded Steve.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,393
Carla saw the cilantro that annoyed Harvard University.,Carla saw what the cilantro annoyed Harvard University.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,394
Phillip thinks about those crises that were stunning the Borgias.,Phillip thinks about who those crises were stunning the Borgias.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,395
Most guys question a lot of women that tour the banks.,Most guys question what a lot of women tour the banks.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,396
Grace should see most couches that haven't distracted Ronald.,Grace should see who most couches haven't distracted Ronald.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,397
Rhonda discovered every driver that appreciates Joel.,Rhonda discovered who every driver appreciates Joel.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,398
Beth forgets this man that hurt Lisa.,Beth forgets who this man hurt Lisa.,blimp,wh_questions_subject_gap,filler_gap_dependency,,,,399
Marla will attack these teachers.,Marla will attack this teachers.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,400
Mark couldn't mess up this plate.,Mark couldn't mess up these plate.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,401
The Lutherans go to this restaurant.,The Lutherans go to these restaurant.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,402
Barbara would care for these guests.,Barbara would care for this guests.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,403
Alice hasn't astounded that school.,Alice hasn't astounded those school.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,404
Caroline doesn't wear this glove.,Caroline doesn't wear these glove.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,405
Nancy isn't driving to those public parks.,Nancy isn't driving to that public parks.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,406
Some ice shouldn't worry this committee.,Some ice shouldn't worry these committee.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,407
Susan shouldn't discuss these waitresses.,Susan shouldn't discuss this waitresses.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,408
The women wear this sweater.,The women wear these sweater.,blimp,determiner_noun_agreement_2,determiner_noun_agreement,,,,409
Who wouldn't James conceal he approached?,Who wouldn't James conceal who approached?,blimp,wh_island,island_effects,,,,410
What can Lucille conceal she climbs down?,What can Lucille conceal who climbs down?,blimp,wh_island,island_effects,,,,411
What had Rebecca forgotten she tours?,What had Rebecca forgotten who tours?,blimp,wh_island,island_effects,,,,412
Who is Linda concealing she will listen to?,Who is Linda concealing who will listen to?,blimp,wh_island,island_effects,,,,413
Who can't Renee find out she can't love?,Who can't Renee find out who can't love?,blimp,wh_island,island_effects,,,,414
Who has Martin realized he appreciates?,Who has Martin realized who appreciates?,blimp,wh_island,island_effects,,,,415
What doesn't Tara forget she wore?,What doesn't Tara forget who wore?,blimp,wh_island,island_effects,,,,416
What might Homer find out he has?,What might Homer find out who has?,blimp,wh_island,island_effects,,,,417
Who hadn't Tanya known she hadn't visited?,Who hadn't Tanya known who hadn't visited?,blimp,wh_island,island_effects,,,,418
Who does Jill reveal she isn't shocking?,Who does Jill reveal what isn't shocking?,blimp,wh_island,island_effects,,,,419
The cashiers can't watch themselves.,The cashiers can't watch himself.,blimp,anaphor_number_agreement,anaphor_agreement,,,,420
Russell wasn't shocking himself.,Russell wasn't shocking themselves.,blimp,anaphor_number_agreement,anaphor_agreement,,,,421
Phillip hasn't impressed himself.,Phillip hasn't impressed themselves.,blimp,anaphor_number_agreement,anaphor_agreement,,,,422
Peter isn't kissing himself.,Peter isn't kissing themselves.,blimp,anaphor_number_agreement,anaphor_agreement,,,,423
