title,sent
Wikipedia,Temporal measurement has occupied scientists and technologists and has been a prime motivation in navigation and astronomy
Electromagnetism,"This violates Galilean invariance, a long-standing cornerstone of classical mechanics"
Mesopotamia,"They could own property and, if they had good reason, get a divorce"
History of architecture,"Even the grander salons used for entertaining were more modest in scale, as social events involved smaller numbers of guests"
Real number,"The existence of a continuous number line was considered self-evident, but the nature of this continuity, presently called completeness, was not understood"
Corporation,"In some cases, this will be a single individual but more commonly corporations are controlled by a committee or by committees"
Wikipedia,Reliefs from temples in East Java from the 14th century feature crowns and headdresses similar to the headdresses used in Balinese dance today
United Kingdom,"After the Stuart Restoration, an English tradition of dramatic masques, anthems and airs became established, led by Henry Purcell, followed by Thomas Arne and others"
Wikipedia,"Either option can present problems for the singer, but for most singers, there are fewer dangers in singing too low than in singing too high"
Carl Linnaeus,"Flora Suecica was a strictly botanical book, while Fauna Suecica was zoological"
Wikipedia,"He continued to spend the night with each of his wives one by one, but he fainted in Maymunah's hut"
Joseph Stalin,"Embarrassed by their inability to defeat the Finns, the Soviets signed an interim peace treaty, in which they received territorial concessions"
Mental health,"A holistic model of mental health generally includes concepts based upon anthropological, educational, psychological, religious, and sociological perspectives"
History of philosophy,"They also assert that life lacks a predetermined purpose, and the act of choosing one's path without such a guiding purpose can lead to anxiety"
Pollution,"At this point, the quantity will be lower and the price will be higher in comparison to the free market equilibrium"
Electric light,By the early twentieth century these had completely replaced arc lamps
Prehistoric art,"Now in fragments, it would apparently have been over 5 metres tall when made"
Wikipedia,"Therefore, proponents of this view hold that democratic participation should primarily focus on voting, where the policy with the most votes gets implemented"
Martial arts,a punch should be 'pulled' as soon as or before contact is made
Wikipedia,They are responsible for the accessibility of collections and collections policy
History of East Asia,To appease the nomads local Chinese rulers often gave important hostages and arranged marriages
Wikipedia,Socrates's religious nonconformity challenged the views of his times and his critique reshaped religious discourse for the coming centuries
Chemical reaction,"Shortly after this, the liquid iron flows into the mould around the rail gap"
Wikipedia,The results of this has been a permanent haze over the city with particulate matter in the air reaching over three times normal levels
Wikipedia,"In 1759, John Harrison, a clockmaker, designed such an instrument and James Cook used it in his voyages of exploration"
English language,"Many speakers of English in Africa have become part of an ""Afro-Saxon"" language community that unites Africans from different countries"
Wikipedia,"Herbs, spices, or wood smoke may be used as flavoring agents"
Wikipedia,"It is characterized by melisma, wavy intonation, pitch instabilities within a pentatonic framework, and a declamatory voice"
Ancient Rome,"While later Roman stories like the Aeneid asserted that all Latins descended from the titular character Aeneas, a common culture is attested to archaeologically"
Prime number,Another optimization is to check only primes as factors in this range
Wikipedia,"demonstrated a single atom emitting one photon at a time, further compelling evidence that light consists of photons"
Wikipedia,"With the emergence of driverless vehicles, radar is expected to assist the automated platform to monitor its environment, thus preventing unwanted incidents"
Wikipedia,In culture  Mars is named after the Roman god of war
Wikipedia,"Health is a positive concept emphasizing social and personal resources, as well as physical capacities"
Card game,This is tedious but necessary for games that are played seriously
Physical chemistry,"Physics applied to chemical systems  Between the flame and the flower is aerogel, whose synthesis has been aided greatly by physical chemistry"
Wikipedia,The civil courts do not hear matters related to Islamic practices
Alcoholism,An alcoholic's behavior and mental impairment while drunk can profoundly affect those surrounding him and lead to isolation from family and friends
Wikipedia,The toggle bag method is generally used for placing small quantities and for repairs
Explosive,"Additionally, several compounds, such as nitrogen triiodide, are so sensitive that they cannot even be handled without detonating"
Catalysis,"Because of this preactivation step, many catalytic reactions involve an induction period"
Wikipedia,During the early modern period comets were studied for their astrological significance in medical disciplines
Wikipedia,"Roman law was heavily influenced by Greek philosophy, but its detailed rules were developed by professional jurists and were highly sophisticated"
Charlie Chaplin,"He, therefore, rejected the new Hollywood craze and began work on a new silent film"
Marketing,"Well-designed models should exhibit clearly defined categories that are mutually exclusive, with no overlap"
Wikipedia,"Ovists thought women carried eggs containing boy and girl children, and that the gender of the offspring was determined well before conception"
Romanticism,"The word Volkstum, or nationality, was coined in German as part of this resistance to the now conquering emperor"
Wikipedia,"In the Song of Solomon, the male narrator compares his beloved to many saffron, cinnamon, and other spices"
Wikipedia,These observations led to the hypothesis of a rotating bar structure in the center of this galaxy
French Revolution,"Repetition had staled even this most grisly of entertainments, and audiences grew bored"
Wikipedia,"Subsequently, several alternative theories were proposed, including the neo-Piagetian theories of cognitive development"
Wikipedia,Land reclamation efforts by the Mamluks and Ottomans further contributed to expansion on the east bank of the river
Mao Zedong,He organised the Association for Student Self-Government and led protests against school rules
Henry Ford,Ford also resisted the increasingly popular idea of payment plans for cars
American Revolution,"In April 1776, the North Carolina Provincial Congress issued the Halifax Resolves explicitly authorizing its delegates to vote for independence"
Wikipedia,"In his book What is Painting?, Bell discusses the development, through history, of the notion that paintings can express feelings and ideas"
History of South America,"Among those remains were evidence of constructed roads, bridges and large plazas"
Wikipedia,"When this happens, the alluvium carried by the river can build up against this impediment, redirecting the course of the river"
Wikipedia,"World history is primarily a teaching field, rather than a research field"
Tang dynasty,"As a result, women could afford to wear loose-fitting, wide-sleeved garments"
Modernism,"They argued that since each viewer interprets art through their own subjective perspective, it can never convey the ultimate metaphysical truth that the Romantics sought"
Joseph Stalin,"Responding to the invasion, the Soviets expanded their industry in central Russia, focusing almost entirely on military production"
Wikipedia,"After this, Khrushchev made many desperate attempts to reconstitute the Sino-Soviet alliance, but Mao considered it useless and denied any proposal"
Wikipedia,how certain the agent is that the proposition is true
Michael Jackson,"DiLeo added ""I don't know if he sleeps in it"
Constitution,The president is accountable to the people in an election
Wikipedia,"To minimize such eventualities, most facilities employ a lifeguard to keep alert for any signs of distress"
Sexual orientation,Those assumptions are now understood to have been based on misinformation and prejudice
English literature,These fictions were too lengthy to be printed for public reading
Aristotle,Aristotle did not do experiments in the modern sense
Atmosphere of Earth,The height of the thermopause varies considerably due to changes in solar activity
Wikipedia,This law holds no matter how complicated the force is between particles
Physical cosmology,"In this model, the universe is roughly the same at any point in time"
Nikola Tesla,He was a believer in the 19th-century concept of an all-pervasive ether that transmitted electrical energy
Molecular biology,This cDNA is then hybridized to the fragments on the array and visualization of the hybridization can be done
Wikipedia,"Marginal crevasses form near the edge of the glacier, caused by the reduction in speed caused by friction of the valley walls"
Wikipedia,"Ali has therefore been criticized by some for political naivety and excessive rigorism, and praised by others for righteousness and lack of political expediency"
Wikipedia,Small knobs extend through the handle of the knife on both sides allowing the user to slide the bolt backward freeing the knife to close
Card game,Chinese mother-of-pearl gambling tokens used in scoring and bidding of card games
Spaceflight,"The most significant is bone loss, some of which is permanent, but microgravity also leads to significant deconditioning of muscular and cardiovascular tissues"
Wikipedia,To be activated glazed pottery must be placed in a kiln to be fired
Inca Empire,"Francisco Pizarro  Architecture was the most important of the Inca arts, with textiles reflecting architectural motifs"
Wikipedia,"Water vapor and carbon dioxide absorb a number of useful portions of the infrared spectrum, so high-altitude or space-based telescopes are used for infrared astronomy"
Wikipedia,If you have a personal yacht this is where to go
Social science,"The Social Science History Association, formed in 1976, brings together scholars from numerous disciplines interested in social history"
Good and evil,Values and the people that hold them seem necessarily subordinate to the ecosystem
Wikipedia,"As of 24 July 2024, there are 7,026 confirmed exoplanets in 4,949 planetary systems, with 1007 systems having more than one planet"
Weak interaction,The accumulation of neutrons facilitates the buildup of heavy nuclei in a star
Wikipedia,New communication modes are also transforming traditional stories into many different configurations
Spaceflight,Suborbital spaceflight over an intercontinental distance requires a vehicle velocity that is only a little lower than the velocity required to reach low Earth orbit
Mechanical engineering,Engineering discipline  Various machine components used in mechanical engineering  Mechanical engineering is the study of physical machines that may involve force and movement
Wikipedia,"During Dutch colonial rule, the head of the Cheng Hoon Temple was appointed as chief over the community's Chinese inhabitants"
Wikipedia,"They are transported by creep, being rolled along the desert floor or performing short jumps"
Wikipedia,Their orbits are perturbed by the gravity of other bodies in the Solar System and by the Yarkovsky effect
Leonardo da Vinci,"It is a complex composition, of about 250 x 250 centimetres"
Wikipedia,The codex size varies considerably depending on volumes and preparation
History of Earth,"In this hypothesis, the proto-cells would be confined in the pores of the metal substrate until the later development of lipid membranes"
Henry Ford,"The Trimotor first flew on June 11, 1926, and was the first successful U.S. passenger airliner, accommodating about 12 passengers in a rather uncomfortable fashion"
Black hole,"Without a satisfactory theory of quantum gravity, one cannot perform such a computation for black holes"
Furniture,Birch is frequently used to construct interior doors and cupboards in addition to furniture
Physical cosmology,"In 1916, Albert Einstein published his theory of general relativity, which provided a unified description of gravity as a geometric property of space and time"
Hong Kong,Some of the aforementioned acts were previously considered protected speech under Hong Kong law
State of matter,Glass is a non-crystalline or amorphous solid material that exhibits a glass transition when heated towards the liquid state
Wikipedia,Zoology is one of the primary branches of biology
Chemistry,Chemical reactions usually involve the making or breaking of chemical bonds
Wikipedia,"Throughout the 12th and 13th centuries the influence of indigenous artists was demonstrated in the decoration of shrines, paintings and the production of illuminated manuscripts"
Aluminium,"Aluminium also occurs in the minerals beryl, cryolite, garnet, spinel, and turquoise"
Wikipedia,"Where still exposed, impact melt can be distinguished from mare lava by its distribution, albedo, and texture"
Wikipedia,"The periods are a class of numbers which includes, alongside the algebraic numbers, many well known mathematical constants such as the number  "
Wikipedia,"Modern humans arrived on the Indian subcontinent from Africa no later than 55,000 years ago"
Wikipedia,"Fourteen-karat gold-copper alloy is nearly identical in color to certain bronze alloys, and both may be used to produce police and other badges"
Wikipedia,"Examples of highly liver-specific proteins include apolipoprotein A II, coagulation factors F2 and F9, complement factor related proteins, and the fibrinogen beta chain protein"
Number theory,The older term for number theory is arithmetic
Wikipedia,"In this way, the environmental and ecological relations are studied through reference to conceptually manageable and isolated material parts"
Wikipedia,"Throughout the years, however, researchers have adapted and developed a number of measures for assessing both infants' recognition memory and their recall memory"
Wikipedia,"Spatial planning is a method of regulating the use of space at land-level, with decisions made at regional, national and international levels"
Social science,Environmental geography combines physical and human geography and looks at the interactions between the environment and humans
Wikipedia,"To address these issues, economists often suggest simple and transparent tax structures that avoid providing loopholes"
Reproduction,Sexual reproduction ensures a mixing of the gene pool of the species
Wikipedia,Indications are that they were not accepted when the rest of the Hebrew canon was
Wikipedia,"The number of deaths determines the magnitude designation, with under 1000 fatalities defining a ""minor famine"" and a ""catastrophic famine"" resulting in over 1,000,000 deaths"
Mesoamerica,"Often, the architectural organization of Mesoamerican sites was based on precise calculations derived from astronomical observations"
Wikipedia,However these are not widely used due to lack of profit
Wikipedia,"In other countries, the place where movies are exhibited may be called a cinema or movie theatre"
Nikola Tesla,It might as well be said that God has properties
Wikipedia,An election is usually a competition between different parties
Wikipedia,"The Babylonians destroyed Jerusalem and the First Temple, which was at the center of ancient Jewish worship"
Afterlife,Sikhism also has the belief of being in union with God while living
Wikipedia,Classical and medieval literature includes a genre of descriptiones which treat of city features and history
Wikipedia,"After demographic and agricultural development between the 4th and 3rd millennia BC, metallurgy appeared, initially working gold, copper and bronze, then later iron"
Infrastructure,"Overall, between them aid, the private sector, and non-OECD financiers exceed government spending"
Wikipedia,"Ali then announced a public pardon, setting free all war prisoners, even Marwan, and prohibiting the enslavement of their women"
Renaissance,"Venice was Europe's gateway to trade with the East, and a producer of fine glass, while Florence was a capital of textiles"
Communism,"In addition, other groups uphold various less-well-known historical leaders such as Enver Hoxha, who also broke with Mao during the Sino-Albanian split"
United States,"Paleo-Indians migrated across the Bering land bridge more than 12,000 years ago, and went on to form various civilizations and societies"
Wikipedia,"The image data can take many forms, such as video sequences and views from cameras"
Scientific method,Uncertainties may also be calculated by consideration of the uncertainties of the individual underlying quantities used
Wikipedia,"In Modern Standard, the energetic mood, in either long or short form, which has the same meaning, is almost never used"
Wikipedia,"The liquid drips through the coffee and the filter into a carafe or pot, and the spent coffee grounds are retained in the filter"
Wikipedia,Many bird bones have little marrow due to them being hollow
Dante Alighieri,"He returned to Verona, where Cangrande I della Scala allowed him to live in certain security and, presumably, in a fair degree of prosperity"
Wikipedia,The possibility of making solar sails that would accelerate spaceships in space is also under investigation
Wikipedia,"From that word came the modern term meteorology, the study of clouds and weather"
Wikipedia,"Civil engineering design parameters are used in the design of the waste dumps, and special conditions apply to high-rainfall areas and to seismically active areas"
Wikipedia,An example is the in-use stock of copper
Wikipedia,"Rossano indicates that by including ever-watchful gods and spirits, humans discovered an effective strategy for restraining selfishness and building more cooperative groups"
Wikipedia,"The areas surrounding Calabar, Cross River State, also in this forest, are believed to contain the world's largest diversity of butterflies"
Wikipedia,"The country has a total of 138 universities, with 40 federally owned, 39 state-owned, and 59 privately owned"
Human evolution,"Neanderthal surface to volume ratio was even lower than that among modern Inuit populations, indicating superior retention of body heat"
Wikipedia,"Mass and volume allow the derivation of the bulk density, whose uncertainty is usually dominated by the errors made on the volume estimate"
Wikipedia,Persistent body of ice that is moving downhill under its own weight  This article is about the geological formation
Great Depression,"After the panic of 1929 and during the first 10 months of 1930, 744 U.S. banks failed"
Wikipedia,"In a two-dimensional Cartesian coordinate system, an angle is typically defined by its two sides, with its vertex at the origin"
Communism,"With the dissolution of the Soviet Union in 1991, several previously Communist governments repudiated or abolished Communist rule altogether"
Chinese folk religion,"In this context, the deity societies or temple societies function as poles of the civil organism"
Psychology,"In 2010, Clinical Psychological Review published a special issue devoted to positive psychological interventions, such as gratitude journaling and the physical expression of gratitude"
Wikipedia,"The shire-reeve had the power of posse comitatus, meaning he could gather the men of his shire to pursue a criminal"
Intelligence,"Cephalopods appear to exhibit characteristics of significant intelligence, yet their nervous systems differ radically from those of backboned animals"
Information Age,"In this work the term 'information revolution' is used in a narrow sense, to describe trends in communication media"
Netherlands,The cities of Arnhem and Nijmegen are built on these hills
History of philosophy,This shift in perspective also involved seeing humans as genuine individuals
History of literature,"Sumerian poems demonstrate basic elements of poetry, including lines, imagery, and metaphor"
Wikipedia,The cream often is sold as a separate product with its own uses
Immanuel Kant,A good will is one that acts from duty in accordance with the universal moral law that the autonomous human being freely gives itself
Wikipedia,"He published several books on Mars and life on the planet, which had a great influence on the public"
Wikipedia,Service tiers  Packet routing across the Internet involves several tiers of Internet service providers
American Revolution,"A town meeting in Boston determined that the tea would not be landed, and ignored a demand from the governor to disperse"
Wikipedia,They survived floating on a mass of uprooted trees from a storm
Carbon dioxide,It is also used by some dry cleaners for this reason
Wikipedia,91.8 per cent of the population are Malaysian citizens
Wikipedia,"Afterwards, the Japanese Empire was allowed to station its troops in Vietnam while the pro-Vichy French colonial administration continued"
Antarctica,The festival is designed for short films of 5 minutes or less
Wikipedia,"Taoism juxtaposes human beings with the vastness of nature, likening the creation of people to the formation of waves in the ocean"
Wikipedia,"However, only the literature associated with the Atharvaveda is extensive"
Wikipedia,"These basins were not interconnected until their subsidence ceased, and the rate of sediment deposition was enough to fill and connect them"
Wikipedia,The war left more than 16 million civilians and military dead
Broadcasting,Dissemination in communication is widely used in the world of broadcasting
Human body,"The egg then lodges in the uterus, where an embryo and later fetus develop until birth"
Western imperialism in Asia,This control allowed the company to monopolise the world spice trade for decades
Artificial intelligence,It must choose an action by making a probabilistic guess and then reassess the situation to see if the action worked
Short story,The Argentine writer Jorge Luis Borges is one of the best-known writers of short stories in the Spanish language
Albert Einstein,"Consequently, in 1907 he published an article on acceleration under special relativity"
Mississippi River,It also serves to protect the St. Louis city water intakes during times of low water
Wikipedia,"Meaningful learning, on the other hand, implies there is a comprehensive knowledge of the context of the facts learned"
Wikipedia,"Florentine Codex  Like all Mesoamerican peoples, Aztec society was organized around maize agriculture"
Probability,"Governments apply probabilistic methods in environmental regulation, entitlement analysis, and financial regulation"
Wikipedia,These documents were written from about 870 to 1880 AD and have been archived in various American and European libraries
Wikipedia,"The marshalcy dates back to the Hundred Years' War, and some historians trace it back to the early 12th century"
Mary Wollstonecraft,"Wollstonecraft is regarded as one of the founding feminist philosophers, and feminists often cite both her life and her works as important influences"
Wikipedia,Sports  Istanbul is home to some of Turkey's oldest sports clubs
Ramesses II,His country was more prosperous and powerful than it had been in nearly a century
Card game,"When playing privately, this will normally be a question of agreeing house rules"
Colonialism,"Rejecting cultural compromises with the colonised population, the colonisers are convinced of their own superiority and their ordained mandate to rule"
Electric motor,"Motors can be designed to operate on DC current, on AC current, or some types can work on either"
Wikipedia,Timur's stated motivation for attacking Bayezid and the Ottoman Empire was the restoration of Seljuq authority
Wikipedia,Within the marrow of the bone there are also hematopoietic stem cells
Wikipedia,"This can be accomplished through chemical means such as smelting or through electrolytic reduction, as in the case of aluminium"
Hong Kong,"Faced with a drug crisis, Qing officials pursued ever more aggressive actions to halt the opium trade"
Wikipedia,Almost all real and complex numbers are transcendental
Wikipedia,"The lower, oblique fissure separates the lower lobe from the middle and upper lobes"
Wikipedia,"In general, any non-zero complex number has n distinct complex-valued nth roots, equally distributed around a complex circle of constant absolute value"
State of matter,"The Sun's corona, some types of flame, and stars are all examples of illuminated matter in the plasma state"
Medical imaging,This radio-frequency emission from the hydrogen-atoms on water is what is detected and reconstructed into an image
Mughal Empire,The decisive victory of the Timurid forces is one reason opponents rarely met Mughal princes in pitched battles throughout the empire's history
Wikipedia,"This led to the invention of the so-called red treatment, where patients and their rooms would be decorated in red"
Immune system,Antigen specificity allows for the generation of responses that are tailored to specific pathogens or pathogen-infected cells
Wikipedia,"In males, the canine teeth can form tusks, which grow continuously and are sharpened by grinding against each other"
Christianity,"Beliefs  While Christians worldwide share basic convictions, there are differences of interpretations and opinions of the Bible and sacred traditions on which Christianity is based"
Wikipedia,Each religious authority has rules for the manner in which marriages are to be conducted by their officials and members
Anthropology,Anthropology and environmental discourse now have become a distinct position in anthropology as a discipline
Agriculture,This requires even greater nutrient and pest control inputs
Wikipedia,"This property is relied upon by all vascular plants, such as trees"
Wikipedia,"Abnormal discoloration of wood often denotes a diseased condition, indicating unsoundness"
Wikipedia,Decommunization is believed to be a power game of elites
Antarctica,"Biologists, in addition to researching wildlife, are interested in how low temperatures and the presence of humans affect adaptation and survival strategies in organisms"
Wikipedia,Patients with confluent smallpox often remained ill even after scabs had formed over all the lesions
Wikipedia,Assessing how well someone engages in reasoning is the project of determining the extent to which the person is rational or acts rationally
Argentina,"After 1955, virtuoso Astor Piazzolla popularized Nuevo tango, a subtler and more intellectual trend for the genre"
Confucius,"""They show how to regulate feelings of resentment"
Atmosphere of Earth,These fluctuations in oxygenation were likely driven by the Lomagundi carbon isotope excursion
Wikipedia,"For example, in humans, the desaturation of stearic acid by stearoyl-CoA desaturase-1 produces oleic acid"
Wikipedia,"However, it was not until the late 19th century that the first attempt to cultivate soybeans in the Iberian peninsula was undertaken"
Wikipedia,The vertical and horizontal scales in this image are different
Age of Enlightenment,The folio edition of the work even included foldout engravings
Hong Kong,The race was revived as a modern sport as part of the Tourism Board's efforts to promote Hong Kong's image abroad
Sculpture,"In Christianity and Buddhism, sculpture became very significant"
Natural selection,This process can continue until the allele is eliminated from the population
Wikipedia,The six seasons are ascribed to two months each of the twelve months in the Hindu calendar
Geography,Geographers are making notable contributions to the method of quantitative techniques
Astronomy,This led to the emergence of the first astronomical observatories in the Muslim world by the early 9th century
Black hole,"Furthermore, it is the first observational evidence of stellar-mass black holes weighing 25 solar masses or more"
Ibn Khaldun,Their souls abandon the sensory world in order to receive from God what they should convey to humans
Wikipedia,Further investigation by this team revealed a dark surface feature discovered by astronomer Giovanni Cassini in 1690 may have been an impact scar
Inca Empire,The Wari occupied the Cuzco area for about 400 years
Nutrition,"Carbon, hydrogen, oxygen, nitrogen, and sulfur are essential nutrients that make up organic material in a plant and allow enzymic processes"
Wikipedia,"DNA is most often found in the nucleus of cells, but Ruth Sager helped in the discovery of nonchromosomal genes found outside of the nucleus"
Wikipedia,"Wounded Warriors, veterans, and allies competed in the second annual trials, which included swimming"
Anesthesia,"From the perspective of the person giving the sedation, the patient appears sleepy, relaxed and forgetful, allowing unpleasant procedures to be more easily completed"
Wikipedia,"Speed, portability and permanence also make aerosol paint a common graffiti medium"
Charlie Chaplin,"Because he personally funded his films, Chaplin was at liberty to strive for this goal and shoot as many takes as he wished"
History of art,"It had ancient Greek, Roman, African, Aztec and Japanese influences, but also Futurist, Cubist and Bauhaus ones"
History of mathematics,"As a result, he has been hailed as the first true mathematician and the first known individual to whom a mathematical discovery has been attributed"
Wikipedia,"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates"
Wikipedia,"Although it held on to power, KANU won 100 seats and lost 88 seats to the six opposition parties"
Nutrition,Major advances in economics and technology during the 20th century allowed mass production and food fortification to better meet the nutritional needs of humans
Wikipedia,The seasonal cycle in the polar and temperate zones of one hemisphere is opposite to that of the other
Socialism,You're really tampering and getting on dangerous ground because you are messing with folk then
Wikipedia,"After lode ore is crushed, recovery of the valuable minerals is done by one, or a combination of several, mechanical and chemical techniques"
Wikipedia,"These norms held the most sway in American and British journalism, and were scorned by some other countries"
Computer science,"It is a systematic approach to software design, involving the application of engineering practices to software"
Wikipedia,"The earliest known Lower Egyptian site, Merimda, predates the Badarian by about seven hundred years"
Wolfgang Amadeus Mozart,"One of his letters from Paris hints at a possible post as an organist at Versailles, but Mozart was not interested in such an appointment"
Carl Friedrich Gauss,His notebooks from that period reveal that he was also thinking about other topological objects such as braids and tangles
Wikipedia,"Legal systems  In general, legal systems can be split between civil law and common law systems"
Wikipedia,The concentrated liquid of volatile compounds extracted during steam distillation is called essential oil
Card game,"For many reasons, including its age and its popularity among Western militaries, it is one of the most universally known card games in existence"
Wikipedia,"During the encounter, properly informing the patient of all relevant facts is an important part of the relationship and the development of trust"
Disability,"Notable scholars from the field include Marta Russell, Robert McRuer, Johanna Hedva, Laura Hershey, Irving Zola, and many more"
Wikipedia,"Jewish life in Christian lands was marked by frequent blood libels, expulsions, forced conversions and massacres"
World War I,"However, contrary to British fears of a revolt in India, the outbreak of the war saw a reduction in nationalist activity"
Wikipedia,Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues
Economics,It also studies effects of monetary policy and fiscal policy
Rocky Mountains,"People from all over the world visit the sites to hike, camp, or engage in mountain sports"
Wikipedia,"The Song dynasty ended the separatist situation in 960, leading to a balance of power between the Song and the Liao dynasty"
Wikipedia,"In 2007, Venus Express discovered that a huge double atmospheric polar vortex exists at the south pole"
Wikipedia,"These can be taken as an indication of what constitutes a ""word"" in the opinion of the writers of that language"
Wikipedia,"Across the 181 plans examined, 13 percent were offering zero-rated services"
Wikipedia,"Damage to the cells of the gastrointestinal tract can also prevent them from regulating iron absorption, leading to further increases in blood levels"
Digestion,A phagosome is a cellular compartment in which pathogenic microorganisms can be killed and digested
Wikipedia,"From then on, presidents were elected by members of the congress, chosen by regular vote"
Adolf Hitler,Sixteen Nazi Party members and four police officers were killed in the failed coup
Wikipedia,Animals are categorised into ecological groups depending on their trophic levels and how they consume organic material
Tropical cyclone,"Tropical cyclones have caused significant destruction and loss of human life, resulting in about 2 million deaths since the 19th century"
Age of Enlightenment,"For example, the Encyclop die narrowly escaped seizure and had to be saved by Malesherbes, the man in charge of the French censor"
Wikipedia,"There have been methods which have combined mail and some of these newer methods, such as temporary emails, that combine facsimile transmission with overnight delivery"
Wikipedia,Verse fables have used a variety of meter and rhyme patterns
Wikipedia,"Options for non-combustible construction include floors, ceilings and roofs made of cast-in-place and hollow-core precast concrete"
The Beatles,"In 2004 and 2011, the group topped Rolling Stone's lists of the greatest artists in history"
Ancient Egypt,"Flax plants, uprooted before they started flowering, were grown for the fibers of their stems"
Genghis Khan,"Another theory suggests that the word ""Genghis"" bears connotations of strength, firmness, hardness, or righteousness"
Personal name,"As a result, unlike surnames, while using patronymic suffix the same last name will not pass down through many generations"
Wikipedia,"Besides groups, rings, and fields, there are many other algebraic structures studied by algebra"
Elizabeth I,"In 1585, Raleigh returned to Virginia with a small group of people"
Spanish Empire,Other European powers did not see the treaty between Castile and Portugal as binding on themselves
Wikipedia,"Many of the liberties enjoyed under Roman law endured through the Middle Ages, but were enjoyed solely by the nobility, rarely by the common man"
Wikipedia,Their caretakers may have to give up their jobs or work reduced hours to provide help to the victim of violence
Wikipedia,"Bryophytes, club mosses, and ferns then appear in the fossil record"
Wikipedia,Since the 1990s Keith Jarrett has defended free jazz from criticism
Wikipedia,UTZ Certified tea is sold by Pickwick tea
Mental disorder,Perception and discrimination  Stigma  The social stigma associated with mental disorders is a widespread problem
Philosophy of science,The question of what counts as science and what should be excluded arises as a life-or-death matter in the philosophy of medicine
Internal combustion engine,The final part of the intake manifold is an air sleeve that feeds the intake ports
Age of Discovery,"Despite Iberian protections, the new technologies and maps soon made their way north"
Rocky Mountains,"In Colorado, along with the crest of the Continental Divide, rock walls that Native Americans built for driving game date back 5,400 5,800 years"
Wikipedia,"The country was later invaded and conquered by Libyans, Nubians and Assyrians, but native Egyptians eventually drove them out and regained control of their country"
Cleopatra,"In late 34 BC, Antony and Octavian engaged in a heated war of propaganda that would last for years"
Joan of Arc,"In 1456, an inquisitorial court reinvestigated Joan's trial and overturned the verdict, declaring that it was tainted by deceit and procedural errors"
Vincent van Gogh,"Van Gogh spent time in psychiatric hospitals, including a period at Saint-R my"
Psychology,Raymond Cattell empirically derived a theory of 16 personality factors at the primary-factor level and up to eight broader second-stratum factors
Wikipedia,Running is considered to occur when at some points in the stride all feet are off the ground in a moment of suspension
History of mathematics,"Following a period of stagnation after Ptolemy, the period between 250 and 350 AD is sometimes referred to as the ""Silver Age"" of Greek mathematics"
Wikipedia,Two propositions of how the brain achieves this task are backpopagation or backprop and positive feedback from the endocrine system
Algorithm,Parallel algorithms take advantage of computer architectures where multiple processors can work on a problem at the same time
Electric motor,"The field magnet is usually on the stator and the armature on the rotor, but these may be reversed"
Vincent van Gogh,"He was taught at home by his mother and a governess, and in 1860, was sent to the village school"
Wikipedia,"The main areas of personal finance are considered to be income, spending, saving, investing, and protection"
Climate change,"A climate model is a representation of the physical, chemical and biological processes that affect the climate system"
Wikipedia,"Matthew has 27 generations from David to Joseph, whereas Luke has 42, with almost no overlap between the names on the two lists"
Qin Shi Huang,"This is exemplified in the Complete History of China, which was compiled in September 1955 as an official survey of Chinese history"
Physical cosmology,The intermediate case is not treated well analytically
Electricity,An electric arc provides an energetic demonstration of electric current
Wikipedia,Refugees are people who have fled their homes due to violence or persecution
Wikipedia,"In both the brain and body, the reduced rate of metabolism enables countervailing restorative processes"
Outer space,"At left, a dramatic expansion occurs in the inflationary epoch, and at the center, the expansion accelerates"
Card game,"Therefore, after each played hand, the deal normally passes to the next player according to the game orientation"
Scientific method,"An example here are the experiments of Kepler and Brahe, used by Hanson to illustrate the concept"
Ancient Egypt,The temples themselves were sometimes converted to churches or abandoned to the desert
Wikipedia,The movement or tenseness of the vocal folds can result in many sounds such as purring and screaming
Wikipedia,"In other words, in a dark room, everything appears as a shade of gray"
